구분,주거용,업무용,,,산업용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계
,,공공용,서비스업,업무용 계,농림어업,광업,제조업,,,,,,,,,,,,,,,,,,,,,,,,,,산업용 계,
,,,,,,,식료품,음료,담배,섬유제품,"의복,모피","가죽,가방","목재,나무","펄프,종이","인쇄,매체","연탄,석유",화학,"의료,의약",플라스틱,비금속,1차금속,금속가공,"전자,통신","의료,광학",전기장비,기타기계,자동차,기타운송,가구,기타제품,산업기계,제조업 계,,
강원,2197106,1385801,6175120.109,7560921.109,698450.058,446394.568,477667.374,108101.717,4.219,11122.955,1124.701,348.914,22573.886,27285.924,1951.934,1332.158,94864.903,96510.018,82990.061,2935971.755,952601.625,33817.406,50380.825,32684.718,37777.15,32409.615,134127.807,64819.06,6479.407,7434.039,2813.094,5217195.265,6362039.891,16120067
개성,47,1175,628,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850
경기,19387551,5665320,36288049.8,41953369.8,2527503.201,258424.905,2598804.792,286869.246,2716.514,1427650.467,133331.646,169538.903,482122.491,1905291.414,674796.647,39565.085,5269538.271,922722.448,2207363.973,1707192.481,1847767.898,2093730.729,29374462.08,533506.069,1020525.569,3535882.969,2713816.662,68696.969,417468.587,1113607.558,15145.631,60562115.1,63348043.2,124688964
경남,4718536,1395218,8915531.616,10310749.62,2254783.093,65372.608,835040.351,113144.385,71557.111,207744.391,6145.027,61909.697,59065.94,770006.313,21963.416,10213.12,739376.108,9246.162,1000672.529,405626.386,3411173.15,1493430.918,508041.73,222131.021,897705.744,1740942.145,1974287.397,1881059.567,21333.566,247649.199,11067.31,16720532.68,19040688.38,34069974
경북,3631035,1586986,8480619.859,10067605.86,1937129.464,197008.909,529619.576,71796.144,36263.551,2885738.92,10909.507,7913.573,74022.072,338195.893,14230.599,39821.223,2651750.471,38243.831,839924.663,965358.135,7763869.449,782637.085,3971467.525,163072.169,841972.155,754324.707,2217992.86,118541.955,22067.833,23915.365,5198.507,25168847.77,27302986.14,41001627
광주,2154034,524607,3165538.133,3690145.133,72417.977,1754.319,126609.021,39221.472,13612.099,149103.455,1852.096,159.566,6499.578,47289.654,16579.066,609.298,60415.101,2295.715,286645.972,21317.72,58783.545,151631.382,739772.87,27610.691,223136.108,183282.26,441849.205,5575.332,5051.6,2163.26,1690.505,2612756.571,2686928.867,8531108
대구,3411777,808903,5406278.224,6215181.224,72005.421,11484.396,206864.487,23019.823,38.601,695674.07,39299.478,6005.723,15574.008,446434.068,38486.567,12786.284,180967.214,14514.378,203705.143,67136.407,271550.017,572871.339,256178.992,76336.881,199515.758,455177.264,1178525.739,47081.379,9723.48,29143.005,1509.854,5048119.959,5131609.776,14758568
대전,2019639,1029942,4026170.949,5056112.949,32961.154,906.17,135927.767,19024.192,68980.303,29092.845,2289.084,2387.987,4120.956,529343.34,12591.842,651.62,215052.364,52217.147,389169.143,50818.751,48889.405,58462.205,241083.544,47253.801,85884.529,88756.035,183514.856,8476.573,3918.929,17446.719,247.79,2295601.727,2329469.051,9405221
부산,4837487,1249802,7416837.493,8666639.493,106915.015,18092.674,546699.343,21761.662,4.103,243662.753,41414.244,99684.523,42196.856,25402.199,26350.764,4829.773,267301.801,13784.15,179984.816,77924.572,1958848.957,762541.374,96405.371,65269.724,127844.672,933893.869,1087609.399,205873.172,9688.836,33203.388,2654.497,6874834.818,6999842.507,20503969
서울,13982706,3432231,26860179.48,30292410.48,14757.256,1946.415,222159.274,15226.413,90.132,106324.846,298795.264,21760.086,4043.069,35207.713,208347.562,3079.627,42679.938,15863.868,49764.305,24837.36,12718.262,50703.217,44815.902,43400.163,16727.386,133553.299,16446.493,19092.896,3443.639,105774.18,1250.952,1496105.846,1512809.517,45787926
세종,558990,326228,806969.399,1133197.399,83300.475,10922.562,108099.022,8586.527,0,23684.398,186.279,2116.316,1126.088,360206.14,3928.301,687.22,130641.433,37339.621,125709.532,379777.467,34869.598,12053.72,221384.314,2242.684,45449.622,28609.706,75117.717,86.818,393.668,4227.054,289.319,1606812.564,1701035.601,3393223
울산,1611703,457346,3614653.499,4071999.499,80504.39,13973.214,176248.313,15155.414,0,691707.946,962.713,454.933,14926.227,545577.024,3154.562,6067386.023,10260379.98,4293.253,303143.669,163152.996,4988677.612,201820.924,35894.247,16185.595,492202.85,178864.054,2200234.7,1016201.396,1476.04,654.905,898.519,27379653.9,27474131.5,33157834
인천,4294880,871533,7391005.655,8262538.655,143485.85,53695.109,612767.273,13871.772,16.547,38124.458,11685.57,6865.447,525391.054,47591.856,70007.678,919198.947,346736.113,304453.568,255463.002,175010.019,1879204.56,616181.197,1081011.364,1946059.17,165455.444,822802.198,495890.88,60730.483,108125.081,377955.936,3383.769,10883983.39,11081164.35,23638583
전남,2500682,1177568,5708834.915,6886402.915,3187513.797,75960.17,824544.267,23113.668,0,172416.572,4462.107,585.569,23690.986,96744.314,1849.753,1743492.521,10473373.39,44594.846,346503.439,543175.425,2730658.239,134928.526,46235.53,11652.668,355640.852,63035.848,66160.589,589862.277,6969.938,6410.507,13314.289,18323416.12,21586890.09,30973975
전북,2519052,1066828,5048965.209,6115793.209,1547056.473,65126.567,1603189.43,116298.301,0,636218.311,13385.663,5542.014,252491.3,1071714.478,8125.06,4521.374,2212314.447,32418.305,237357.908,611690.504,1823962.902,128748.266,430231.577,23341.458,145634.733,151137.818,721022.885,40527.623,4177.325,12654.269,5177.8,10291883.75,11904066.79,20538912
제주,917914,316304,2457350.694,2773654.694,1399315.658,5077.964,96560.395,75274.37,0,471.111,128.711,12.915,1366.948,21707.186,1156.026,47.223,27794.183,8521.255,7102.719,23274.553,1535.221,2787.078,1093.566,792.554,793.535,2029.901,797.204,438.828,1162.763,1254.147,1223.292,277325.684,1681719.306,5373288
충남,3038547,1061727,7468271.031,8529998.031,2043578.25,198912.858,1291028.523,82096.508,13.495,161946.732,11368.531,15290.642,121805.322,747915.39,50773.448,3685682.977,3692468.596,255782.995,1061730.991,841604.936,8185862.311,531171.187,11303598.75,559275.064,867279.059,685045.521,2339241.23,28911.621,8648.216,77402.022,5751.79,36611695.86,38854186.97,50422732
충북,2291890,1265385,5212990.275,6478375.275,834980.145,127046.125,1141812.819,134582.728,8042.382,173346.483,6025.759,58837.399,51755.623,837562.853,33505.405,15658.732,1676840.684,646073.065,1101817.223,2160268.031,372026.305,781118.661,4908532.87,72515.872,1378198.937,379704.987,641909.942,13707.673,42821.448,528404.698,4531.876,17169602.46,18131628.73,26901894
합계,74073576,23622904,144443994.3,168066898.3,17036657.68,1552099.533,11533642.03,1167144.342,201339.057,7654030.713,583366.38,459414.207,1702772.404,7853475.759,1187798.63,12549563.21,38342495,2498874.625,8679049.088,11154137.5,36342999.06,8408635.214,53310591.06,3843330.302,6901744.103,10169452.2,16488545.57,4169683.622,672950.356,2589300.251,76148.794,248540483.4,267129240.7,509269715
